date,name,count,loc,link,source,record
2020/02/29,Nemtsov March,22300,Strastnoj bul'var,https://twitter.com/WhiteCounter/status/1233723307830194177,Twitter,
2020/02/23,"February, 23",2700,Strastnoj bul'var,https://twitter.com/WhiteCounter/status/1231514558667395072,Twitter,
2020/01/19,In Memory of Markelov and Baburova,14200,"Bol'shaya Bronnaya, 29",https://twitter.com/WhiteCounter/status/1218868153620582400,Twitter,
2019/09/29,Let Them Go,25200,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1178322771773972480,Twitter+FB,
2019/08/17,KPRF for Election,4200,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1162687792771715073,Twitter+FB,
2019/08/10,For Freedom!,50000,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1160226559476871168,Twitter+FB,
2019/07/20,For Open Elections,22500,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1152571242291089408,Twitter+FB,
2019/06/23,Society Requires Justice,3900,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1142836341874548737,Twitter+FB,
2019/06/07,Free Golunov,250,"Petrovka, 38",https://twitter.com/Pantarktik/status/1137075589133848577,Twitter,
2019/03/10,Against the Isolation of the Russian Internet,15300,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1104742123562299393,Twitter+FB,
2019/03/08,"March, 8",250,"Mit'kovskij pr-d, 2",https://twitter.com/WhiteCounter/status/1104004471103909889,Twitter,
2019/02/24,Nemtsov March,10800,Strastnoj bul'var,https://twitter.com/WhiteCounter/status/1099646943125475333,Twitter+FB,
2018/12/23,Stop Liksutov,2900,"Mit'kovskij pr-d, 2",https://twitter.com/WhiteCounter/status/1076824911019233281,Twitter+FB,
2018/12/23,People Against Construction Arbitrariness,1750,1905 Goda ulica,https://twitter.com/WhiteCounter/status/1076818442710368257,Twitter+FB,
2018/09/04,Save Vorontsov Park,120,Metro Novye CHeryomushki,https://twitter.com/WhiteCounter/status/1037019543460294657,Twitter,
2018/09/02,Against Retirement Reform,8900,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/1036205976217690112,Twitter+FB,
2018/07/29,Against Robbery,6200,Prospekt Akademika Saharova,https://www.facebook.com/WhiteCounter/posts/2028530163825325,Twitter+FB,
2018/07/28,Against Retirement Reform,12000,ul. Mashi Poryvaevoj,https://twitter.com/WhiteCounter/status/1023158916727951361,Twitter+FB,
2018/05/13,For Internet,2400,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/995648510925172736,Twitter+FB,
2018/04/30,For Telegram,12300,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/990935627523903488,Twitter+FB,
2018/02/25,Nemtsov March,7600,Pushkinskaya,https://twitter.com/WhiteCounter/status/967724272960630785,Twitter+FB,
2017/06/12,Against Corruption,,Prospekt Akademika Saharova,https://www.facebook.com/WhiteCounter/posts/1559440497400963,-,
2017/05/28,Against Construction Arbitrariness,4900,ul. Vavilova,https://twitter.com/WhiteCounter/status/868815706082738177,Twitter+FB,
2017/05/14,No to Renovation,20200,Prospekt Akademika Saharova,https://twitter.com/WhiteCounter/status/863739593551732736,Twitter+FB,
2017/05/06,6th of May,2800,Prospekt Akademika Saharova,https://www.facebook.com/WhiteCounter/posts/1523936457618034,Twitter+FB,
2017/04/08,New Opposition,590,1905 Goda ulica,https://twitter.com/WhiteCounter/status/850701103998042112,Twitter+FB,
2017/04/08,KPRF Rally,1600,pl. Revolyucii,https://twitter.com/WhiteCounter/status/850654318772576256,Twitter+FB,
2017/02/26,Nemtsov March,15200,Pushkinskaya ploshchad',https://twitter.com/WhiteCounter/status/835824786995556353,Twitter+FB,https://docs.google.com/document/d/1gU52cwUZenA4CxbfdRqHo9gPjjISUpODNCFJv-JLJgs/edit
2017/01/29,Save Trolley,960,Suvorovskaya ploshchad',https://twitter.com/WhiteCounter/status/825681615699451904,Twitter,
2016/08/09,Save the Internet,2640,"Mit'kovskij pr-d, 2",https://twitter.com/WhiteCounter/status/763068602064986112,Twitter,
