date,name,count,loc,coord,link,source,record
2015-03-01,#МаршПамяти,51600,"Китайгородский проезд, Москва, Россия","55.751652, 37.632958",https://twitter.com/WhiteCounter/status/572036711800307712,Twitter+FB,https://docs.google.com/document/d/1V93S2pHX_ludJIRaB0wuDLVe5w7LpiocBEQFXl1Jdjg/edit
2015-02-21,Антимайдан,,,,https://www.facebook.com/WhiteCounter/posts/938444919500527,Twitter+FB,
2014-11-30,#МитингВрачей,5600,"Самотечная площадь, Москва, Россия","55.778834, 37.618636",https://www.facebook.com/WhiteCounter/posts/893750443969975,Twitter+FB,
2014-11-04,Русский марш,2300,"Люблино, Москва, Люблино, Россия","55.675957, 37.761845",https://www.facebook.com/WhiteCounter/photos/a.875007122510974/876008929077460/?type=3,FB,
2014-11-02,Остановить развал медицины Москвы,6600,"Суворовская площадь, Москва, Россия","55.781318, 37.617024",https://www.facebook.com/WhiteCounter/posts/875007109177642,FB,
2014-09-21,Марш мира - 2,26100,"Пушкинская площадь, Москва, Россия","55.766040, 37.606102",https://www.facebook.com/WhiteCounter/posts/854786257866394,FB,
2014-03-15,Марш мира,22800,"Трубная площадь, Москва, Россия","55.767036, 37.622395",https://docs.google.com/document/d/1VQkhb332GslxtcKg8Gvei9zFXazlTHv_CeUsXgNdu4Y/edit#,WIKI,
2013-06-12,Марш против палачей,9200,"Болотная площадь, Москва, Россия","55.745788, 37.616962",https://www.facebook.com/WhiteCounter/posts/616027991742223,FB,
2013-05-06,За свободу!,27500,"Болотная площадь, Москва, Россия","55.745788, 37.616962",https://instanton.livejournal.com/66795.html?fbclid=IwAR0J7PeQqmOWhCp-h3vyh6esaehMT4YOBmsyFUiVL3WyB4MVqnAXfHh_BKQ,FB+LJ,
2013-03-02,Марш в защиту детей,13000,"Кропоткинская, Москва, Россия","55.745748, 37.604039",https://allaron.livejournal.com/112874.html?fbclid=IwAR0du83MXLuPDk6m8qn489W4E9j1y2ZSy3yYroiwo-lZg9W9aqwyuY2lJaU,FB+LJ,
2013-01-13,Шествие против закона подлецов,24000,"Страстной бульвар, Москва, Россия","55.766874, 37.609597",https://kalenkov.livejournal.com/3082.html?fbclid=IwAR0-mQQa-59LfR9JtuHFDUvQw52M_ipoogR8DYSVfRs4hIkQXAgwrQJvqOI,FB+LJ,
